player_name,variety,card_number,set,year,image_url,total_graded
Jonathan Huberdeau,Base,222,Upper Deck,2013,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjNiQ2dlNzNLbkRteDlKQjVqNnNLbGc9PSIsInZhbHVlIjoibEFoNFVqcmhMRVZjai85U2NMQmtoNVpSV0dJZkRwVzdSeE1LTFBCV3RPSytZa0JHWmRLYnBUbnJ1Y0Q3cEJkbHMwUnJnR0p2S3pla211M2xqNHBRZ0E9PSIsIm1hYyI6ImFkMGU3ZTE1ZmE0NTJhZTgzNzk3OWI3Njc4MzcxZThiMDgwMWRhOGYyYzA3ODJmODRlMzc0NDBjMGQ0ZjdhMjIifQ==,564
Jonathan Taylor,Reactive Green,216,Panini Mosaic,2020,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InNTVWtuc3pWL0FTYkc5RU5VV1dmanc9PSIsInZhbHVlIjoiUENIam80ZVQwQmphb2ppaUNjY1JSb1JUVUY3QjRhOXpicjlXMkpmWHJBN0hMZGhiR2NIMTVNNkw2ZEFtL2ppdEtDaDM5MThVZGZkZXpjVUZKMk5mV1E9PSIsIm1hYyI6ImNmZTdlNmI4MWZlYjA4Y2NiMmYxNDcyZWRkODEzZmNiZmQyNWIzMDk5ODAyMDZjYTI2MGVkZDcyMTQwOTE0ZGMifQ==,38
Jordan Binnington,UD Exclusives,469,Upper Deck,2014,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImZDcVVxTWtwM2Q0WU9xN2NSTkVmNEE9PSIsInZhbHVlIjoiU0FPMkE0djA5S1pzY3BBZDFBc01EcWlsaVFoeEtCZXBVS0tpMTdRcjZmcWV1SnlTZVN0dHBiZGpwUjY2cDlodzdnQ1ZMTWxMb2czeG56dUFjS3VnQmc9PSIsIm1hYyI6ImI0NWJlNzAyMDc2MDFiZGUxMTk3YmI5NDdkN2Q5OWNmOTMyZjdlODQ3MzZmZTNkMWRlN2NiNjNmMzkwNDIxNWIifQ==,6
Jrue Holiday,Gold,330,Topps,2009,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IkZMcS9manNUbE9acmtrYUdqL0Rrc1E9PSIsInZhbHVlIjoiZnA3RlFicHo5alNuR0ZrSzl4Uy9LMHJYMDBEOGpWSXQwbFUxcktGeDJ4MD0iLCJtYWMiOiJjMmQyMDFmNWM0ZmZiN2RlNTFjYjM4NmM0Y2I3YmY3ZWMzOWM1Y2FjODE4ZTYxY2JmNGI3YTg1ODBiZWMwNDFkIn0=,36
Justin Verlander,Base,630,Topps Turkey Red,2006,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImlOL1FhVGt0MnZDaVJKeXRRM0NZeGc9PSIsInZhbHVlIjoiZm13TCsyUE9USzJTWmd3Vm1DS1FrK05NYUxKb3dTWDFOazdnYmxQNEZudSs3ZDhvd0tvN1h2N2dGK01DOUdhSlIzSVRVcnFhMVB0Y1ZWMjVOQkYxd2c9PSIsIm1hYyI6IjkyMmMwNWViMWZjOWYyMWE4ZjM5YTg4MjJkNzA4ZjBkZWFjNDNmZjI0YzRhZWE0Y2MxNmE0OGFhODIxOTA4NzYifQ==,120
Kareem Abdul-Jabbar,Base,159,Panini Prizm,2012,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImV1OVVmblpndklEemJqTXRRUzF1RUE9PSIsInZhbHVlIjoiVEMyT2YyQ0lzU1liWklVU21JemxDTnRGR01JSjJyUlpVTEphc2pLWW9KUDZmcEMzNWlTd0tDWmwvR2h5UHZEclA3ZVlDSWtBd3lMblNEaXBKYkExQW9Dak1pSW5ReThiUTNIUk0wdUJJNUE9IiwibWFjIjoiYWIyYjRiMjIwMjMyYTRmOGQxZGJkOTg5MmViYzkwMzlhZjgzNWQ1NmRlMDUxZmQ3MjY3ZGZkYjc5ODBkODNiMSJ9,104
Kemba Walker,Base,255,Panini Brilliance,2012,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjhtVWNyeURza3NmMlhuV3BNM2h3MkE9PSIsInZhbHVlIjoiL1JsTFBKV3BkQUx2NSt2SERnYS82NjZKcno1UGw4UU83Q2pyZlV4TFgwTW1FK3NBV1haRXdjK2lSaCtZdldsbERuSE5IM3FtSUM2YU9sbVgvM2JXMkE9PSIsIm1hYyI6IjdjMzA2ZjYzYjI1NTU5M2IxYzI3YzE5NmY2MmNhN2M1NWIwZmM0MWI1MzliNjc3NzA5MmQ0ZTIwNzE0MDE0NGQifQ==,61
Ken Griffey Jr.,Base,FF3,Topps Flashback Fridays,2007,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Im5SU290LzQyNkxmOHZLNk1rbndxelE9PSIsInZhbHVlIjoiaWI5NkE4WFZSZDR6OGRBU2UvNkxPS0QvSTkvTDJ1UWVOenY5NlF3aXAwSmZXZU1GbDE0NTlKazdQWEZLYjluYiIsIm1hYyI6ImE2YzhkZTVjYmNkYWU3NTE3NjFmMDYyMmRlMTYzYzc1MDdkZWZmMWFkMWRiZDQzZTQ2Yjc2ZjZhZjI1MjllYzgifQ==,76
Kevin Durant,Gold Pulsar Prizm,6,Panini Prizm SP Variations,2014,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlQxeldINWEzaHZxWFQza0E0ZTRuZmc9PSIsInZhbHVlIjoiL0g1bGpadzRmc3ZteXdRb0YyR3Z4MFllYS9ocDdqeWVIMDhlMU4rYzNwY0hsejNFVmw0QjFUdENiZFd5eGZ0bXh0R0lEbUNwbmJzOThiM2JCeThTVkE9PSIsIm1hYyI6Ijg0OWUxMGRjZmZiYmI3NmNlNTJhMDk2MjE2ZDU4ODRmYmZmMWExNzcyYWQ0Mzg5MzlkYzZiZDc5MjVkMGUwZDAifQ==,9
Kevin Fiala,Base,208,Upper Deck,2015,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjF0T0hJcFZWNWN3Z0h3S2dRejFhV2c9PSIsInZhbHVlIjoiWS81VWxsd2V2NTF4WmJKSUpiYXQ1Q3RnaWd4OTM2LytaclVIQkQwNDFZMHB3SjlwN3ZqWnBodDdkZWYrZWcrK1VNVW84K3VtQmd3SzFSU1dML2dKclE9PSIsIm1hYyI6IjA5ZWUzZDNmMGJhNDNhMzNhYzNkMDkyNDNjMDE0YWVlZDNhZTRhOTNiNTYzZjJmN2YzZjE5M2MyMzNkY2Y2ZTYifQ==,184
Klay Thompson,Prizm,197,Panini Prizm,2013,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjE1ZmNmeUtWQUtEU2VzWk1oaDBNZWc9PSIsInZhbHVlIjoialNSOUltL2tySDA4eCsxN1ZvZGlmUm9LUlFNeUU3Z0xDL21ydUNhQi9PWG5JZXYreU5EdW1vOHpDZ0tyWGNKaFBnSlc3bFQ3ajlFL1dMTW94WFcwS0E9PSIsIm1hYyI6Ijg2NWZmNDkyZTUzODE4MmZhNDI2OTYxY2YzNWIxOTFjZDkyNTEzOGM1NWRhNmY2MWMwZTNkMTYxYTlhMmRjNTEifQ==,36
Kobe Bryant,Base,129,Topps Chrome,2006,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlFxTVVYVThMODg3TDRCOFAzNWpEckE9PSIsInZhbHVlIjoianE4b2VuLytCTlRRZTJOQUFSNFBocC9XbGJSQWRNMmMzZGJIcFBLd3k5Sng5bzFJc1A1dmRPWGZXNG8rbnZSMnpLQUpxaktlNElXdDRkS0crbFBrVUE9PSIsIm1hYyI6ImJiNTI2NmJkYzFlZWUxODUzM2YzM2Q0MmFiZTgyNDJkZjlkOTU0ZTE3ZDJmZjQyY2E2YzRiYzFmODgwNWQ4ZDkifQ==,314
Kobe Bryant,Base,40,Topps Chrome,2005,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ik1oUjN3SHc0Qk1oWUFOUktPeTFYb1E9PSIsInZhbHVlIjoieDBVYzFra3ZadlB5aE4zV1hSWUtuNGk0elJwVURwQ1pXQ3haYXdqQUVrNjNEN09OZHM5cGVSYitTK2xqVXhra0hoTTFUNldtcFlPdWp4UWs5S3JRWTllbjQ5eFJrZW9lMUFPNjkvVkIzNFE9IiwibWFjIjoiODZiYTJhOWE2Y2MyNGEzNGI4MmJiZjYzZWY1MTM4OTQzZjIzYjkxNDgzNGY5OWNjMDI1MWNlNjI5ODIxODc4YyJ9,281
Kobe Bryant,Silver Prizm,10,Panini Prizm Fireworks,2015,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IitrYVVKU3B0MC84QWVPRE9uQXBQYnc9PSIsInZhbHVlIjoiVFhCajZxYjFndW1CY3YvNUFuZGlCZ1BLcVBOZ0ZwTGJraUxTa1NESWd6VW1taGZ2MXpQNGJPOHhNOTR5VERIWXdVZStleU1zOWV4Q0twVWRUa3RNTFE9PSIsIm1hYyI6IjU5YzE3OGMwY2E3ODg5Zjk4NWVmOWEyODZmMmU1M2IzNGFjZDMwYTYyMjUzZGRkMmYzZmFjNjc3MmJmZmI4NzUifQ==,20
Kris Bryant,Prism Refractor,112,Topps Chrome,2015,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IklFbGllaE1XVlJwM3VNQ0xaeTJDZGc9PSIsInZhbHVlIjoiTHc3eU9hNHE1a1Q2OEQ2VU5zNWg5Z3pyMWk2SzFVd0xLSXh6YWlVRXdxdkM5dTQwWXo3SWRUaWhXQWZWMVJObk5YaUpjRkJTS2xLTXdwTkYyNEUvRnc9PSIsIm1hYyI6IjAwMzM1MzAwZThlMzg4ODJiYmY1ZTlmNzM5ZDZhM2ZiMTgxMzExMmIzOWExOTQ1MjVlOTIxY2RiMDE2NWI4M2IifQ==,367
LaMarcus Aldridge,Blue Refractor,96,Finest,2006,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlZyV3ZKKy8xOHh5S09yNHVYYis3Zmc9PSIsInZhbHVlIjoiOTNDR0xDRGQvVlpkSmptbGllcjNHL3ZNV2NsdE5lUCtDT25vQ09TVEkyV3k4aUV3VkF1Q1V2UUQ5YjZaS3N0UVhzdjNTN1ZPRmpUSEs5Nm5jRmdmTkE9PSIsIm1hYyI6Ijc4NTRjMTUxZmFhZDgzNjdkYjJjNDhmNGQ1ZWVlNjAwNzEyM2JkNzhlZjk1OWIzZjY4ZTYyOTA4MGY1ZDQyZWIifQ==,16
Larry Fitzgerald,Base,100,Finest,2004,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IkUzSUVDMzUzUEZ3MHJpZnJISjg5N2c9PSIsInZhbHVlIjoiNk03UzBqcHpSYkpudFNIOXhlYUcyS0FtdlZEeFN2T3JZZ1B3anFzZ3QvSWdCOFIwMlJub2UvL0x1Y0VDSzc1ZjZkbG9GVFRZS3RjaENTaWQ2Tm52d3c9PSIsIm1hYyI6IjRkODNiNDM1MTUyMjMxMjhjOGQyMWQ2NTRhZGVkMGU2Y2QyYzgwYmUxYmZjMDA2MDJhMmJlMjFhMGMwYjhkOGUifQ==,533
LeBron James,Base,95,Panini Classics,2010,http://host.jwcinc.net/712533/brent/2014_9/171_173_4.jpg,61
LeBron James,Base,LJ8,Upper Deck Lebron's Diary,2003,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ii9CUkwzNXBTTVRuWWIvNmxoSDZWamc9PSIsInZhbHVlIjoiVEY4V0grSjAveWFFNmo0MVNvSEpMeWlKYkdUcjg2bVZOZjVmQ29DOW11eDh6d0owaUN0UHQ1Tkc0M1gxMXNLZms1aWFrVjlNUm1tWmpnenlPMml4L3p5OFhvNHZNa2RrV1VlM3ZHZGk5YzA9IiwibWFjIjoiODI3Mjc5NWNlYjAyM2ZlMThmOTlhM2I1YTA2ZmFmNDM3MDVhZmUxOTI5YTUwZTNjYWQ0YjI4ZDM4Y2I2NDM4NyJ9,358
LeBron James,Base,SQ-17,Upper Deck First Edition Starquest Green,2008,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IkxSS3dGaGFxK0pzaVJEZEVVRDcvbGc9PSIsInZhbHVlIjoiSVpFQm8xTTYzUGJBdUdOYitpcUZoL1BtUHlSSzBIRGdUUVhiaFBZRVZYc0lJOGNHN2RUd1hGNFUzOHUvMXdUanR0QTRaZ1dtWWVuMkxaRHNsK3lBa1E9PSIsIm1hYyI6IjZjNDlmNjBlNjM3MWVjYzJkYjE5YzY0NjQ5YTU3Mzc3MDdhZjc3OGVlNjAwNWQ1Nzc1MzAwMTEzYTBjZjA1MGQifQ==,156
LeBron James,Blue,80,Bowman Elevation,2006,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ikgwb0VKMll6WnRrMksraGQxVVJsdWc9PSIsInZhbHVlIjoiejhpTnU5UG05NU5Ec2xkZzE3SXRCWFQzN3VITUIxUjZTdDJLbnNvKzVGcz0iLCJtYWMiOiIzMGEyNWFhYjA5MWI2ZWZlYWVjMmRjOTg3YjM5ODI0YzQyZTYxNGJjODE0ODY0OTQyZmMzYTNkZGUyOGE0NzEwIn0=,18
LeBron James,Comics,10,Bazooka Comics,2004,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InJMTWNPUlVySHhHbVFzbHByQ2hYd2c9PSIsInZhbHVlIjoiayt6bDRXMVc1UlZTSEtYOTdiWDdzanZ3N0hPVWhRZU1jTlpKVFBrWGhpYTZ2cVN3Q1ZVajk3ek8xMFd3Q3V1WVdhWGhrdzZ1bzFmc0F0MjAzSUcwSFE9PSIsIm1hYyI6IjA0OTIzZjhkNDg5ZTBmMDU5ZTZkZDI5ZWMwZWQ4MWJlMTMyMzNmZWM4NzE2ZDBkMmYyMWYyNTgxODNkYTRmZTgifQ==,180
LeBron James,Legacy Collection,11,Fleer Showcase,2004,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjN4VnlkdWRaZkUxZ0JkRkNEWE1FaHc9PSIsInZhbHVlIjoiT1NrUUJtRWU2U3lEeU5jckV6b2VnNG9UMkhJMXpMeHpneDUzd1E2ZTZPWC9wWWs5TFdwWmRucnBNekwrUG5rWFMzWnRoeWtUeCs1L0Z5QWZzNjBmMWc9PSIsIm1hYyI6ImJhNmYzZTRlNGVhMzY2Yjk5ZmY2OTA2ZmQxMGVhNzI4YWQ0YjAzMDYyYmQzZDcxMGJhMzBjZThhZmRlN2YxODEifQ==,13
Luka Doncic,Fast Break,3,Panini Prizm Luck of the Lottery,2018,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlBnR0luK1NycWhFdGpyNkFsSWd6SkE9PSIsInZhbHVlIjoiZkp4VFBjNE1kV3dxdmx3VHYraTVaeFArSFNNWlljTkgxOExGemdPdHRnUUpKY29sRmlRcUZ1ZWRFV0tXMzZPK0JnWSt3TVFQU1F5blliRjk4c1N3alE9PSIsIm1hYyI6ImQ4M2JjNTZlOGJjMGY0ZWI5OWNmMGVjOTg4ODYxODU2MjI2YzA0NzY5ZDNkNDZlY2JmNGU4NTRkMDA2YTJhZWQifQ==,587
Marshawn Lynch,Base,113,Finest,2007,https://i.ebayimg.com/thumbs/images/g/KEgAAOSwfg9hUzKW/s-l1600.jpg,112
Matt Duchene,Base,203,Upper Deck,2009,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InBhZjZ0OFo4ZW5MSHM0bmRKR0R1ZGc9PSIsInZhbHVlIjoiei96R0FzWlh3NWIzeUw1NnpZYTB2RzFjcllEV3A5RGdGMFhPUFFBWllrWT0iLCJtYWMiOiIwMjg1Y2ZjMmFmMzE1MDdmYTZlZmRmNjllNTFmMDQwOTgwZGRmNTg3NTJhMGRkNjkxYWJkMjdiYzBiMzVkODA5In0=,591
Michael Jordan,Base,8,Fleer Hot Prospects,2006,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlhrU3gya2U0ck5zYW9DQS9PWlhzV0E9PSIsInZhbHVlIjoiTUxBamZ5QWhVdWZPOUdrdVpjek1oeTNob3hBSnQ0QXQzSEZ4cWI1NjQyaHBYU2M5emszbkhsTVVLRWIrblppdXBiakNWUVBSY081M1BFZDlEMytRRlE9PSIsIm1hYyI6ImFmMzc0N2RiYTU1NTE3MTgwYTNmYjkxMjVmNTEwODc3M2I4ZWU3MWM3OWUwNTAxZGYwYTk4OWM5NTFiNTA0NzkifQ==,137
Michael Jordan,Base,88,Upper Deck Authentics,2002,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlMvMXF0ZVBkeUZRL3Y3Mm8xaXRNQVE9PSIsInZhbHVlIjoicjBrdHN3YjBrUmExbnpIM2k4R2lvSjUzMHFTVXhDQ2NaZWVTSWpPSEpNNzZmSVJWODFFdno5dW5MN0t0b3pzbncva0d1d2F4Wks5SHlPSWNveEE4VkE9PSIsIm1hYyI6IjhkYmM3MGY5YmY3Nzk0N2VmNmEyNTFkYzFiMTJiZGVmODQ2MzBkMmYxNjg2MzU3MTIzZjhlNjBhMjU3ZDhhNmQifQ==,72
Michael Jordan,Base,89,Upper Deck Sweet Shot,2002,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlYzelcvanRrdWRGREZrcUZOMjFQU3c9PSIsInZhbHVlIjoiRFlDbWZlbG5NT01FYzlJZ1NGYXo3dXJkdWRsY0lOTVkyQjRVMTRUSzg5Ny9oRHlIcTRJZ3J1d1dDWGtkTGI2TDhkZDFJYzltdUZ5MXZEZmFVWHhIOHc9PSIsIm1hYyI6IjlmNjc3Mjg1NzlkYmQyNTBmMzcwMGJiYjQxNDI5N2Q1NTc5NWVkMjc4Y2ZjYTZmN2YxZjAxMGFiMjY0M2NiMzMifQ==,75
Mike Trout,Base,34,Bowman,2012,https://s3.amazonaws.com/s3.myslabs.com/media/DWNZIYH_1639166140_front.jpeg,1102
Mike Trout,Base,MM-2,Topps Making Their Mark,2013,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InZ6ZlRFczJDV2RyY3UxTTJ0bUgwbXc9PSIsInZhbHVlIjoibDlydVc3V3BOWnFVS29Dc3kyS1V2VUJ1alFnNG5WZlFOOTZFZWRoNlFjcmJxcVJ1RFdYWG5QN2RzSTBFbzJzM3VJa1krQnpGWDVIL0daeS9abGY1R2c9PSIsIm1hYyI6ImQ0ODY0NTcyYzJkMDI5MmI0YjU4MDhhMjAyNTQ4MzI4YTk2OWFkNzNkNjNmMWJhYTdhOWI1YjgyNmNlYTg2NjAifQ==,134
Mike Trout,Jumping-Purple Refractor,200,Topps Chrome,2019,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ii9sSlk4QXp4TkdLbnNMcjdPcXgyeHc9PSIsInZhbHVlIjoiU0FwR1RJWDRqUHZwUVNWYjhyWk40d3R6Tm1TNkhBRUtNUWtJL3QxVGJCaWR6L3cydU45R1NxclVob1A5N2VjT2RxOTVXTDVhM3JHaGEvYVZSQ1lJVnc9PSIsIm1hYyI6IjQ3NDhlZTI5MmM3MWI4MGVjZDg0M2Q3YTE2ZTkzYTc0ZDQ5ZmNhOTU0YTI0M2I3OTM0MTc5MGFlNzYxZjU0MWYifQ==,60
Montrezl Harrell,Light Blue Prizm,331,Panini Prizm,2015,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InRBcWtvNjB1Y3NneG5yLzJja1dZTXc9PSIsInZhbHVlIjoiTUY4RDQvWlgvTjYxQUlUcnh4RW1yZ1ZOa0xXenphWThpdTY0ODgzalMvZ3dzaUdBdVM0RE5Bd0JkajNkQ0J5SVpjTGdIN1ZzS3RLSzZ6eXgvcEFlZUE9PSIsIm1hYyI6IjIwNTc1MTUzOWJjNmUwMjAxNTRlOWZhZDUzNDI5YzZmNTU5ODIwYTY5YjI5ZTIxOTdlZjlkN2QxMWU0MzcwMmIifQ==,19
Nikola Vucevic,Base,267,Panini Prizm,2012,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlJrM3ZPdkFIVFhXRjV6OG1jUWhoNUE9PSIsInZhbHVlIjoiamZuUWJtM1p1VnFEMVowZmpFTi9ER2dYQktHWHllNHZGZ2I4UDdDMndJcm0zVUdLaHg4MWY0ZG1EQVJzdWorckdoUFIvVjcxVHVYNWxCa2kzQ2MvWHc9PSIsIm1hYyI6IjcyMzEyMGRhODU5YmMzMzc2NDU5NTM1NmIyNTI5ZDJlNThiNzQ2YTM0MWZhMGQxMDE2NjNmOGZiZjg2MjU3ZWMifQ==,188
Nolan Arenado,Blue,87,Topps Pro Debut,2010,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IkJJQ0xhSkhqWG1qZHNsdkpxbjZaVGc9PSIsInZhbHVlIjoid1lZNUozYnZCK3pnTlc5N3UrNjYrYmNtWFBKU0JBUmhVUGV0TDNSYnBPb0RuY01pcjVCaHE5aDBmWXpWb0kxWiIsIm1hYyI6ImMwNzZiMGViYjEwMTE3NmYzOGVmOTMzODRhYjBkYjVmNmMyY2ViNjNhZjUzMmJlYTQ3NTZlYWUzOGRkOTFlZDUifQ==,6
Odell Beckham Jr.,Red Refractor,108,Finest,2014,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlBVODRzRE1uL1YxQzBIRHlXRk9aNHc9PSIsInZhbHVlIjoiZ3owczJ6cW84MU5QaHRxS1Y1R3gvUDB6eFlqTDJLT3ZYT0w3a0NNU1RYUXJWRmRoVm94elE0TGdEa1IxakhldCIsIm1hYyI6Ijg2N2FmMWVmMmU2M2EyMDRiMTEyMGQ3ZGQyY2UxYzBlMmQ2OWVjMDk4Nzk3M2I1OWEzN2ZiN2FhMTBiNjg2NDUifQ==,8
Pascal Siakam,Base,165,Panini Excalibur,2016,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImVJNkcycjFoMjRIVlRDbEVNZUIvTnc9PSIsInZhbHVlIjoiNFVZZzhIT0l3ajJwVzRKZWJLT0doVXZUQ2pRaW4wZDlOZ3Q3dzVqZ0w0a05tNHh5dzVVa0RXaC9UbENubHgwdGVzVlVHVDlDZ05rd1E1K1YyTGViMnc9PSIsIm1hYyI6IjNkMmEwMDljZmVmN2VmNDY4NTg2ZTc2NTFmZDNjNGQyODIwNTgwY2YyMTZhMTk1ZTQ3Nzc5MWVlMDEwNzc3N2MifQ==,185
Pascal Siakam,Base,99,Panini Studio,2016,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ikt0VzdxTC9kbE9BRkpVaGI0Ulpsamc9PSIsInZhbHVlIjoiRTVrckZzNUVCbVdqVlViSDJOMWl4SXRteFpaME5lTlUxaW5xV0dMY1VmTmxVK3RCY05YclVtOE81bE54Ui9zQlh1NnJreFVZMTNQNEFlamxwR3NkUnc9PSIsIm1hYyI6IjE3ODk5M2ExMzEwODcyNDY1NDdhNTI5MzZjMTQzNTM2MmIxYTk1NGIxMmYxZjI2MTExZjFhN2FhNWVjNGMzMGUifQ==,97
Patrick Mahomes II,Base,10,Panini Prizm Stained Glass,2017,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IllWelUxSzF6N0tTaTBZa1UzZlMzaUE9PSIsInZhbHVlIjoiYTJBTlZlMlNXT2xKMm1oTFVidnk1a3hJeVptVVRzU2hUd2xMR0JuQmZxUjBYQ0pCZmJsUW90WGFuSlZzN202Sks4SE5JVFRjRTlVSUdJNjdrdU5qdlE9PSIsIm1hYyI6ImRjMTZjMWZmMmZiOWRlZjQ4NjMxYzE2NzA5OGI2YzY0YWMwZjI2ZDRkMGRmY2VkYzQwMmY4NGQ5MmI4YTkxZGIifQ==,99
Pete Alonso,Base,475,Topps Chrome Sapphire Edition,2019,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjF3ZFBzdFVCd0k4T2VrY0F0USsrWHc9PSIsInZhbHVlIjoiS2ppUVFrcEVCUFJhNDZNWUxPSFJsZjZaQ3pUZUpHZmFwamprSGtSTnh2TWVEbHV0WUVQcUJXcVhxc3R0NG9naFYva1g4emVqMWVHanFyYklCNEs5dmc9PSIsIm1hYyI6IjM0MjgxOWViNGIyZGNkNDYxMTE3ZmU5NTM1MDA3ZWQ1NDk1NjViZTRmOWExMjk3MWEyYmZlZTUwNTU3Nzg5MjYifQ==,376
Peyton Manning,White Jersey,300,Topps,2011,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlkrOHY1V21scW9KeWM0QmJOajduV3c9PSIsInZhbHVlIjoiNDVrSTZ1Sy84ZktMM1piamdZQUpVTzVaeHM5YkRkQ20zZW1TYzJhR3F3TGNxSjh4Z1RJQVBqNUFOUTg4L2g4U1c2dW4zZDFkd3krOUpnOTI0bWZiOFE9PSIsIm1hYyI6ImM1ZDMzMDBiNjU2MTE0MDExY2EyZjcwY2UyYThkZmQ1MmU0NzE3NTllNTNkOGY1MmIyMDBkODY3MzUxODU5M2MifQ==,73
Philip Rivers,Base,PP15,Topps Chrome Premiere Prospects,2004,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImMzU2JuQzFUTkxzQWFRMlpjYlVxdFE9PSIsInZhbHVlIjoiYVhqVjlIQ0N5SUV3VE5rVW8vck15ZzBTWTlFWERFK3ErT2xTK1VvWDY4d1JCZEFMcE1pQk5lTk8vazY4RmJyZlNqajNPbE4vVDBlWVozZVN1VFRxcXc9PSIsIm1hYyI6IjI4OWZjYzgzZmQ1NTMxOGRmOGQzMjQyYmVjMDA1MzE5MDY5Y2YxN2Q4NDMwZDYzM2FhNzcyYWJjNWJhZmUyOWMifQ==,103
Sam Bennett,Base,231,Upper Deck,2015,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ikt0RURBR1YzK0RQalh5WlFMM3FJUVE9PSIsInZhbHVlIjoiNnhONXZGTWE1c2krVUpVVzFJSFhYV1QyODdXTXhsV1ZCNHNaNXhiNlF0UT0iLCJtYWMiOiIwMDBlNGI3YzVlNDNhYWNiZjQxZGJkMzM2MDhjY2U0ZTk4NTNkNjZiNTRlNGMwODYyOTQxZGI2Mjc0MzljMjAwIn0=,235
Santonio Holmes,Autograph,244,Topps Chrome,2006,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjFFbEZJb1pFTHpWRlZzTjVpL3ppakE9PSIsInZhbHVlIjoiVFB2OG0xb3BXd0RLT2EwRmtPM2JrNTl3SC9NL3F5SVV5Q3hnSUg4eVMyND0iLCJtYWMiOiI2ODNjNmVkOTVjNDExNTA4ZjVlMGE4OWNlMDYyNWEzNjc2MDM0Y2E0OGJmYTE2Njk2ODI1NmY1NWUzNmQ4MmQ2In0=,7
Saquon Barkley,Base,359,Panini Score,2018,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlVDT0JVYW1nOVZiR1A1VzltTXRsZWc9PSIsInZhbHVlIjoiMmIyenRGR3k2Zm5ZSGQ2SEJlUFV6SklPVXN1U1JRejdMcHlBdGtrWXdJT0g2eTY3THVpT0pyb0o0SFlJeGZaQ21rQk9UdXNuZU52Z1RpZ24xM3Q0Q0E9PSIsIm1hYyI6IjU4NTViMTNiM2YyMjVkOGY0MTA5YWNkNGY2OTUwMTZmODZjMTQ4OGEyMTM3N2E4NDMwYTU5MWE4MmRkZmYxODkifQ==,376
Scottie Pippen,Prizm,176,Panini Prizm,2012,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImJDM1BhdzZqK1dVcUQxdjZoNkxQcXc9PSIsInZhbHVlIjoidFJCRmZoaGdGdldXU2FJNlNRNmkxMS9vdEVveFRzUVV5eHU5ZUVJKzJuNTBHMU81WGg4SWtuNDltZk5GNkM3RVViMXpRVFlxQkZCNG82VWpZcDllcmc9PSIsIm1hYyI6Ijk2ZTI1NWZjYTM5MWIzZjkzMGZhZTU3ZDI1ZTExZDhkNjBiNzgxNDFkYmFhMjhmZDk5ZTBkNjI5YTc0YjM0NDEifQ==,25
